# Agility shortcuts: loc, op, level, xp, ticks, origin tile, destination tile, requirements.
#
# Tiles, levels and gates come from the shortest-path RuneLite plugin's
# agility_shortcuts.tsv (https://github.com/Skretzo/shortest-path), BSD 2-Clause,
# Copyright (c) 2021 Skretzo. Xp is the wiki's, matched by loc id. Every loc, varbit and varp
# id was resolved to this cache's gameval symbols at generation time, so no raw id is here.
#
# Requirements are ';' separated: another skill (ranged=37), gear (gear=grapple) with the
# Agility level that crosses without it (bare=48), a quest
# (quest=quest_regicide, checked through the realm's quest requirement mode) or a raw var
# comparison (var=varbit.falador_diary_hard_complete>=1).
#
# A shortcut that can be failed carries its odds out of 256, the xp a fail still pays and the
# damage it deals, as low/high/failxp/damage - the wiki's numbers, blank where it cannot fail.
#
# symbol	op	level	xp	ticks	origin	destination	requirements	fail
loc.trollheim_wildy_climb_rocks	Climb	64	0	3	2946,3678,0	2949,3681,0		
loc.morytania_climbingrocks_sc_bottom	Climb	65	0	3	3426,3478,0	3424,3476,0		
loc.morytania_climbingrocks_sc_bottom	Climb	65	0	3	3427,3477,0	3424,3476,0		
loc.morytania_climbingrocks_sc_top	Climb	65	0	3	3424,3476,0	3427,3477,0		
loc.morytania_railing_sc_fence_1	Squeeze-through	65	0	3	3423,3476,0	3424,3476,0		
loc.morytania_railing_sc_fence_1	Squeeze-through	65	0	3	3424,3476,0	3423,3476,0		
loc.morytania_railing_sc_fence_2	Squeeze-through	65	0	3	3425,3483,0	3425,3484,0		
loc.morytania_railing_sc_fence_2	Squeeze-through	65	0	3	3425,3484,0	3425,3483,0		
loc.fairy_sc_juttingwall	Squeeze-past	66	0	2	2409,4400,0	2409,4402,0		
loc.fairy_sc_juttingwall	Squeeze-past	66	0	2	2409,4402,0	2409,4400,0		
loc.lumbridge_diary_desert_shortcut	Jump-to	66	0	3	3212,3137,0	3214,3132,0		
loc.lumbridge_diary_desert_shortcut	Jump-to	66	0	3	3212,3138,0	3214,3131,0		
loc.lumbridge_diary_desert_shortcut	Jump-to	66	0	3	3214,3131,0	3212,3138,0		
loc.lumbridge_diary_desert_shortcut	Jump-to	66	0	3	3214,3132,0	3212,3137,0		
loc.tavelryshortcut	Climb-up	66	25	2	2946,3439,0	2943,3439,0		
loc.climbingcaverocks1	Climb-up	67	0	3	2616,9571,0	2615,9506,0		
loc.climbingcaverocks1	Climb-up	67	0	3	2617,9571,0	2615,9506,0		
loc.climbingcaverocks2	Climb-down	67	0	3	2614,9504,0	2616,9571,0		
loc.climbingcaverocks2	Climb-down	67	0	3	2614,9505,0	2616,9571,0		
loc.climbingcaverocks2	Climb-down	67	0	3	2615,9503,0	2616,9571,0		
loc.climbingcaverocks2	Climb-down	67	0	3	2615,9506,0	2616,9571,0		
loc.climbingcaverocks2	Climb-down	67	0	3	2616,9503,0	2616,9571,0		
loc.climbingcaverocks2	Climb-down	67	0	3	2616,9506,0	2616,9571,0		
loc.elves_overpass_sc_rocks_bottom	Climb	68	0	8	2338,3286,0	2338,3281,0		
loc.elves_overpass_sc_rocks_top	Climb	68	0	4	2338,3281,0	2338,3286,0		
loc.ice_mountain_shortcut_bottom	Climb	68	0	5	2997,3483,0	3002,3483,0		
loc.ice_mountain_shortcut_top	Climb	68	0	5	3002,3483,0	2997,3483,0		
loc.archeuus_runestone_shortcut_grey_shortcut_north	Climb	69	0	2	1761,3872,0	1761,3874,0		
loc.archeuus_runestone_shortcut_grey_shortcut_north	Climb	69	0	2	1761,3874,0	1761,3872,0		
loc.darkm_wall_rock_shortcut	Jump-over	69	0	3	3565,3379,0	3562,3379,0	quest=quest_sinsofthefather	
loc.fenk_bridge_multi_north	Cross	69	0	4	3503,3562,0	3503,3559,0	var=varbit.fenk_built_bridge_north=2;var=varbit.fenk_built_bridge_south=2	
loc.fenk_bridge_multi_north_mirror	Cross	69	0	4	3504,3562,0	3504,3559,0	var=varbit.fenk_built_bridge_north=2;var=varbit.fenk_built_bridge_south=2	
loc.fenk_bridge_multi_south	Cross	69	0	4	3504,3559,0	3504,3562,0	var=varbit.fenk_built_bridge_north=2;var=varbit.fenk_built_bridge_south=2	
loc.fenk_bridge_multi_south_mirror	Cross	69	0	4	3503,3559,0	3503,3562,0	var=varbit.fenk_built_bridge_north=2;var=varbit.fenk_built_bridge_south=2	
loc.hh_master005	Jump-over	69	0	3	3562,3379,0	3565,3379,0	quest=quest_sinsofthefather	
loc.fossil_shortcut_basecamp_a	Climb	70	0	2	3713,3830,0	3715,3815,0		
loc.fossil_shortcut_basecamp_a	Climb	70	0	2	3714,3830,0	3715,3815,0		
loc.fossil_shortcut_basecamp_a	Climb	70	0	2	3715,3830,0	3715,3815,0		
loc.fossil_shortcut_basecamp_b	Climb	70	0	2	3713,3816,0	3713,3830,0		
loc.fossil_shortcut_basecamp_b	Climb	70	0	2	3714,3815,0	3713,3830,0		
loc.fossil_shortcut_basecamp_b	Climb	70	0	2	3715,3815,0	3713,3830,0		
loc.fossil_shortcut_basecamp_b	Climb	70	0	2	3716,3815,0	3713,3830,0		
loc.fossil_shortcut_basecamp_b	Climb	70	0	2	3717,3815,0	3713,3830,0		
loc.fossil_shortcut_basecamp_b	Climb	70	0	2	3718,3816,0	3713,3830,0		
loc.kharid_poshwall_topless	Climb	70	0	3	3295,3157,0	3295,3159,0		
loc.taverly_dungeon_pipe_sc	Squeeze-through	70	10	3	2886,9799,0	2892,9799,0		0/254/0/
loc.taverly_dungeon_pipe_sc	Squeeze-through	70	10	3	2892,9799,0	2886,9799,0		0/254/0/
loc.polli_stepping_stone	Cross	71	25	2	3372,2959,0	3373,2955,0		
loc.polli_stepping_stone	Cross	71	25	2	3373,2955,0	3372,2959,0		
loc.proudspire_climbing_rocks_grey03_op	Climb	71	0	8	1576,3254,0	1581,3249,0		
loc.proudspire_climbing_rocks_grey03_op	Climb	71	0	3	1581,3249,0	1576,3254,0		
loc.slayertower_sc_chainbottom	Climb-up	71	0	3	3446,3576,1	3446,3576,2		
loc.slayertower_sc_chainbottom	Climb-up	71	0	3	3447,3575,1	3447,3575,2		
loc.slayertower_sc_chainbottom	Climb-up	71	0	3	3447,3577,1	3447,3577,2		
loc.slayertower_sc_chainbottom	Climb-up	71	0	3	3448,3576,1	3448,3576,2		
loc.slayertower_sc_chaintop	Climb-down	71	0	3	3446,3576,2	3446,3576,1		
loc.slayertower_sc_chaintop	Climb-down	71	0	3	3447,3575,2	3447,3575,1		
loc.slayertower_sc_chaintop	Climb-down	71	0	3	3447,3577,2	3447,3577,1		
loc.slayertower_sc_chaintop	Climb-down	71	0	3	3448,3576,2	3448,3576,1		
loc.wilderness_chaos_temple_shortcut	Cross	72	0	2	3268,3625,0	3268,3629,0		
loc.wilderness_chaos_temple_shortcut	Cross	72	0	2	3268,3629,0	3268,3625,0		
loc.archeuus_runestone_shortcut_grey_top	Climb	73	0	4	1742,3854,0	1752,3854,0		
loc.diary_troll_climbingrocks	Climb	73	0	3	2838,3693,0	2844,3693,0		
loc.diary_troll_climbingrocks	Climb	73	0	3	2843,3692,0	2838,3693,0		
loc.diary_troll_climbingrocks	Climb	73	0	3	2844,3693,0	2838,3693,0		
loc.wilderness_lava_dragons_shortcut	Cross	74	0	3	3201,3807,0	3201,3810,0		
loc.wilderness_lava_dragons_shortcut	Cross	74	0	3	3201,3810,0	3201,3807,0		
loc.snakeboss_steppingstone	Cross	76	0	6	2154,3072,0	2160,3072,0	quest=quest_regicide	
loc.snakeboss_steppingstone	Cross	76	0	6	2160,3072,0	2154,3072,0	quest=quest_regicide	
loc.kharazi_shortcut_vine_diag1_live	Climb	79	0	5	2899,2937,0	2899,2942,0	quest=quest_legends	
loc.kharazi_shortcut_vine_end_live	Climb	79	0	5	2899,2942,0	2899,2937,0	quest=quest_legends	
loc.shortcut_shilo_rocks_bottom	Climb	79	0	5	2871,3008,0	2871,3003,0		
loc.shortcut_shilo_rocks_top	Climb	79	0	5	2871,3003,0	2871,3008,0		
loc.taverly_dungeon_floor_spikes_sc	Jump-over	80	12.5	3	2878,9813,0	2881,9813,0		0/220/0/
loc.taverly_dungeon_floor_spikes_sc	Jump-over	80	12.5	3	2880,9813,0	2877,9813,0		0/220/0/
loc.dugupsoil_slayer_2	Climb-through	81	0	7	3420,3534,2	3418,3532,0		
loc.slayer_corpse1	Climb-up	81	0	5	3418,3532,0	3420,3534,2		
loc.wilderness_lava_maze_northern_shortcut	Cross	82	0	5	3092,3878,0	3092,3883,0		
loc.wilderness_lava_maze_northern_shortcut	Cross	82	0	5	3092,3883,0	3092,3878,0		
loc.crandor_shortcut_bottom	Climb	84	0	6	2832,3247,0	2832,3252,0		
loc.crandor_shortcut_top	Climb	84	0	6	2832,3252,0	2832,3247,0		
loc.dagannoth_waterbirth_rock_climb_agility_shortcut_bottom	Climb	85	0	5	2547,3749,0	2547,3744,0		
loc.dagannoth_waterbirth_rock_climb_agility_shortcut_top	Climb	85	0	5	2547,3744,0	2547,3749,0		
loc.elves_overpass_sc_rocks_bottom	Climb	85	0	6	2338,3253,0	2332,3252,0		
loc.elves_overpass_sc_rocks_top	Climb	85	0	6	2332,3252,0	2338,3253,0		
loc.kalphite_wall_shortcut	Squeeze-through	86	0	3	3500,9510,2	3506,9505,2		
loc.kalphite_wall_shortcut	Squeeze-through	86	0	3	3506,9505,2	3500,9510,2		
loc.legends_quest_cave_shortcut	Squeeze-through	96	7.5	3	2764,9341,0	2769,9340,0		
loc.legends_quest_cave_shortcut	Squeeze-through	96	7.5	3	2769,9340,0	2764,9341,0		
